q,e,adota
0.1,0.0,-1.28
0.1,0.05,-3.34
0.1,0.1,-5.06
0.1,0.2,1.03
0.1,0.3,3.43
0.1,0.4,3.74
0.1,0.5,4.0
0.1,0.6,3.0
0.1,0.8,-6.32
0.2,0.0,-0.77
0.2,0.05,-0.49
0.2,0.1,-1.51
0.2,0.2,-0.16
0.2,0.3,0.92
0.2,0.4,2.87
0.2,0.5,2.59
0.2,0.6,-1.3
0.2,0.8,-7.09
0.3,0.0,1.15
0.3,0.05,0.87
0.3,0.1,-2.05
0.3,0.2,-1.89
0.3,0.3,-0.19
0.3,0.4,-1.44
0.3,0.5,-0.93
0.3,0.6,-2.34
0.3,0.8,-3.49
0.4,0.0,1.29
0.4,0.05,1.14
0.4,0.1,-1.3
0.4,0.2,-0.65
0.4,0.3,-2.41
0.4,0.4,-2.5
0.4,0.5,-2.93
0.4,0.6,-1.48
0.4,0.8,-3.61
0.5,0.0,1.43
0.5,0.05,1.41
0.5,0.1,-0.69
0.5,0.2,-0.15
0.5,0.3,-2.43
0.5,0.4,-2.1
0.5,0.5,-3.73
0.5,0.6,-1.26
0.5,0.8,-3.52
0.6,0.0,1.58
0.6,0.05,1.5
0.6,0.1,-0.69
0.6,0.2,-0.42
0.6,0.3,-2.37
0.6,0.4,-2.96
0.6,0.5,-4.33
0.6,0.6,-0.3
0.6,0.8,-2.73
0.7,0.0,1.67
0.7,0.05,1.52
0.7,0.1,-0.75
0.7,0.2,-0.46
0.7,0.3,-2.38
0.7,0.4,-5.16
0.7,0.5,-4.36
0.7,0.6,0.28
0.7,0.8,-2.85
0.8,0.0,1.72
0.8,0.05,1.54
0.8,0.1,-0.94
0.8,0.2,-0.67
0.8,0.3,-2.52
0.8,0.4,-6.23
0.8,0.5,-0.28
0.8,0.6,0.52
0.8,0.8,-3.0
0.9,0.0,1.74
0.9,0.05,1.55
0.9,0.1,-0.88
0.9,0.2,-1.02
0.9,0.3,-4.15
0.9,0.4,-6.23
0.9,0.5,0.86
0.9,0.6,0.47
0.9,0.8,-2.89
1.0,0.0,1.76
1.0,0.05,1.54
1.0,0.1,-0.95
1.0,0.2,-1.31
1.0,0.3,-4.79
1.0,0.4,-6.1
1.0,0.5,0.6
1.0,0.6,0.38
1.0,0.8,-2.74