q,e,edot
0.1,0.0,0.0
0.1,0.05,-0.47
0.1,0.1,1.55
0.1,0.2,0.78
0.1,0.3,-1.84
0.1,0.4,-4.15
0.1,0.5,-4.78
0.1,0.6,-5.95
0.1,0.8,-7.7
0.2,0.0,0.0
0.2,0.05,0.02
0.2,0.1,1.32
0.2,0.2,2.14
0.2,0.3,0.16
0.2,0.4,-2.02
0.2,0.5,-3.96
0.2,0.6,-4.62
0.2,0.8,-5.47
0.3,0.0,0.0
0.3,0.05,0.13
0.3,0.1,3.73
0.3,0.2,5.59
0.3,0.3,0.23
0.3,0.4,-0.4
0.3,0.5,-2.73
0.3,0.6,-3.95
0.3,0.8,-3.46
0.4,0.0,0.0
0.4,0.05,0.54
0.4,0.1,4.29
0.4,0.2,3.5
0.4,0.3,2.52
0.4,0.4,0.23
0.4,0.5,-1.64
0.4,0.6,-2.81
0.4,0.8,-2.61
0.5,0.0,0.0
0.5,0.05,0.77
0.5,0.1,4.33
0.5,0.2,3.75
0.5,0.3,3.38
0.5,0.4,1.33
0.5,0.5,-1.82
0.5,0.6,-2.37
0.5,0.8,-2.15
0.6,0.0,0.0
0.6,0.05,1.0
0.6,0.1,4.73
0.6,0.2,4.9
0.6,0.3,4.52
0.6,0.4,3.33
0.6,0.5,-0.04
0.6,0.6,-2.2
0.6,0.8,-1.96
0.7,0.0,0.0
0.7,0.05,0.92
0.7,0.1,4.88
0.7,0.2,5.48
0.7,0.3,5.26
0.7,0.4,5.6
0.7,0.5,0.58
0.7,0.6,-2.14
0.7,0.8,-1.86
0.8,0.0,0.0
0.8,0.05,0.81
0.8,0.1,5.28
0.8,0.2,5.95
0.8,0.3,5.97
0.8,0.4,6.48
0.8,0.5,-1.15
0.8,0.6,-2.08
0.8,0.8,-1.7
0.9,0.0,0.0
0.9,0.05,0.75
0.9,0.1,5.16
0.9,0.2,6.6
0.9,0.3,8.33
0.9,0.4,7.02
0.9,0.5,-1.83
0.9,0.6,-2.12
0.9,0.8,-1.69
1.0,0.0,0.0
1.0,0.05,0.69
1.0,0.1,5.33
1.0,0.2,7.07
1.0,0.3,9.43
1.0,0.4,6.91
1.0,0.5,-1.67
1.0,0.6,-2.11
1.0,0.8,-1.85